PHILOSOPHER ID: 0	AVG WAIT TIME: 24.1
PHILOSOPHER ID: 1	AVG WAIT TIME: 22.94
PHILOSOPHER ID: 2	AVG WAIT TIME: 25.67
PHILOSOPHER ID: 3	AVG WAIT TIME: 25.09
PHILOSOPHER ID: 4	AVG WAIT TIME: 25.21
PHILOSOPHER ID: 5	AVG WAIT TIME: 23.49
PHILOSOPHER ID: 6	AVG WAIT TIME: 22.77
PHILOSOPHER ID: 7	AVG WAIT TIME: 25.35
PHILOSOPHER ID: 8	AVG WAIT TIME: 24.97
PHILOSOPHER ID: 9	AVG WAIT TIME: 23.68
