PHILOSOPHER ID: 0	AVG WAIT TIME: 56.1
PHILOSOPHER ID: 1	AVG WAIT TIME: 59.28
PHILOSOPHER ID: 2	AVG WAIT TIME: 56.19
PHILOSOPHER ID: 3	AVG WAIT TIME: 55.48
PHILOSOPHER ID: 4	AVG WAIT TIME: 57.4
PHILOSOPHER ID: 5	AVG WAIT TIME: 53.76
PHILOSOPHER ID: 6	AVG WAIT TIME: 57.53
PHILOSOPHER ID: 7	AVG WAIT TIME: 58
PHILOSOPHER ID: 8	AVG WAIT TIME: 57.22
PHILOSOPHER ID: 9	AVG WAIT TIME: 55.63
