PHILOSOPHER ID: 0	AVG WAIT TIME: 41.36
PHILOSOPHER ID: 1	AVG WAIT TIME: 42.16
PHILOSOPHER ID: 2	AVG WAIT TIME: 45.32
PHILOSOPHER ID: 3	AVG WAIT TIME: 46.8
PHILOSOPHER ID: 4	AVG WAIT TIME: 45.22
PHILOSOPHER ID: 5	AVG WAIT TIME: 39.1
PHILOSOPHER ID: 6	AVG WAIT TIME: 41.86
PHILOSOPHER ID: 7	AVG WAIT TIME: 46.34
PHILOSOPHER ID: 8	AVG WAIT TIME: 43.3
PHILOSOPHER ID: 9	AVG WAIT TIME: 45.72
