PHILOSOPHER ID: 0	AVG WAIT TIME: 0.62
PHILOSOPHER ID: 1	AVG WAIT TIME: 0.44
PHILOSOPHER ID: 2	AVG WAIT TIME: 0.28
PHILOSOPHER ID: 3	AVG WAIT TIME: 0.54
PHILOSOPHER ID: 4	AVG WAIT TIME: 0.01
PHILOSOPHER ID: 5	AVG WAIT TIME: 0.1
PHILOSOPHER ID: 6	AVG WAIT TIME: 0.22
PHILOSOPHER ID: 7	AVG WAIT TIME: 0.08
PHILOSOPHER ID: 8	AVG WAIT TIME: 0.16
PHILOSOPHER ID: 9	AVG WAIT TIME: 0.48
